id;data_celebracao;data_primeiro_emprestimo;data_ultimo_pagamento;valor_financiado;finalidade_emprestimo;parcelas;taxa_juros;valor_parcela;tempo_relacionamento;escore_fico;inadimplencia_2_anos;registros_publicos_negativos;renda_mensal;compm_renda;default;T
1077501;2011-12-01;1985-01-01;2015-01-01;5000.0;cartao de credito;36;0.1065;162.87;323;737;0;0;2000.0;0.0814;0;37
1077175;2011-12-01;2001-11-01;2014-06-01;2400.0;pequeno negocio;36;0.1596;84.33;121;737;0;0;1021.0;0.0826;0;30
1076863;2011-12-01;1996-02-01;2015-01-01;10000.0;outros;36;0.1349;339.31;190;692;0;0;4100.0;0.0828;0;37
1075269;2011-12-01;2004-11-01;2015-01-01;5000.0;festa de casamento;36;0.079;156.46;85;732;0;0;3000.0;0.0522;0;37
1072053;2011-12-01;2007-01-01;2015-01-01;3000.0;compra de veiculo;36;0.1864;109.43;59;662;0;0;4000.0;0.0274;0;37
1069908;2011-12-01;1989-10-01;2013-09-01;12000.0;pagamento de dividas;36;0.1269;402.54;266;677;0;0;6250.0;0.0644;0;21
1064687;2011-12-01;2004-04-01;2012-07-01;9000.0;pagamento de dividas;36;0.1349;305.38;92;712;0;0;2500.0;0.1222;1;7
1069866;2011-12-01;2003-07-01;2015-01-01;3000.0;cartao de credito;36;0.0991;96.68;101;707;0;0;1250.0;0.0773;0;37
1069057;2011-12-01;1991-05-01;2013-10-01;10000.0;outros;36;0.1065;325.74;247;722;0;0;8333.33;0.0391;1;22
1069759;2011-12-01;2007-09-01;2015-01-01;1000.0;pagamento de dividas;36;0.1629;35.31;51;667;0;0;2333.33;0.0151;0;37
1065775;2011-12-01;1998-10-01;2015-01-01;10000.0;reforma residencial;36;0.1527;347.98;158;672;0;0;3500.0;0.0994;0;37
1069971;2011-12-01;1993-08-01;2013-05-01;3600.0;compra grande valor;36;0.0603;109.57;220;762;0;0;9166.67;0.012;0;17
